제목,저자,출판사,발행일,정가,판매가,리뷰수,판매지수,상세정보,설명,상세페이지URL
된다! 하루 만에 끝내는 제미나이 활용법,권서림,이지스퍼블리싱,2025년 11월,20000,18000,62,"92,187",N/A,"업무·SNS·일상 어디든 활용할 수 있는 70가지 예제로 제미나이를 쉽게 배운다!스마트폰 속 제미나이 앱과 노트북LM, 구글 AI 스튜디오까지 200% 활용하자!이 책은 AI에 쉽게 적응하고 싶은 초보자를 위한 제미나이 ...",https://www.yes24.com/product/goods/163301895
요즘 바이브 코딩 안티그래비티 완벽 가이드,최지호,골든래빗,2026년 02월,28000,25200,2,"26,106",N/A,"구글의 야심작 안티그래비티! 0원으로 시작하는 바이브 코딩!UI 디자인, TDD와 클린 아키텍처, 수익형 서비스까지 5가지 실전 예제로 완성하는 최강 레시피!제미나이, 클로드, GPT까지 AI 에이전트 군단을 지휘하는 ...",https://www.yes24.com/product/goods/174658020
누구나 아는 나만 모르는 제미나이,이성원,한빛미디어,2026년 01월,19000,17100,11,"26,031",N/A,"왕초보를 위한 세상에서 가장 쉬운 제미나이 & AI 입문서!제미나이 3 최신 버전으로 학습한다!구글이 만든 요즘 대세 AI 제미나이, 이 책은 IT에 서툰 분도 단숨에 제미나이를 다룰 수 있도록 세상에서 가장 쉽고 친...",https://www.yes24.com/product/goods/172517063
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴(Korea.com),2025년 08월,27000,24300,44,"59,490",N/A,대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있다.이제 프롬프트는 새로운 교양이다....,https://www.yes24.com/product/goods/150566390
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","안익재, 황의태",앤써북,2025년 12월,19800,17820,84,"17,682",N/A,"요즘 교사들이 가장 많이 사용하는 5가지 에듀테크를 수업과 업무 완성에 어떻게 활용했고, 어떻게 활용할 수 있는지 50가지 주제별 실습과 100가지 실제 활용 사례와 활용 방법을 통해 배운다. 이 책은 요즘 교사들...",https://www.yes24.com/product/goods/169849422
피지컬 AI 메가 트렌드,"최홍섭, 원미르",위즈덤하우스,2026년 01월,23000,20700,21,"8,286",N/A,"*고동진 삼성전자 전 대표이사, 궤도 과학 커뮤니케이터, 문용식 전 NIPA 원장,이해민 국회의원, 최경진 한국인공지능법학회 회장 강력 추천*엔디비아와 테슬라, 오픈AI는왜 피지컬 AI를 미래 핵심 비즈니스로 삼았...",https://www.yes24.com/product/goods/176004735
요즘 바이브 코딩 클로드 코드 완벽 가이드,최지호,골든래빗,2025년 09월,24000,21600,18,"30,378",N/A,"★ 200달러 MAX 플랜으로 매일 10시간씩 실험하여 얻은 노하우를 모두 담았다!★ 어디에도 없는 클로드 코드 최강 팁과 노하우, 레시피를 빠르게 알고 싶다면?★ 이 책으로 천상계에서 개발하는 진짜 바이브 코더가 ...",https://www.yes24.com/product/goods/151850127
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,20000,18000,65,"94,893",N/A,"2022 개정 교육과정에 맞춘 실전 에듀테크 활용서챗GPT, 구글 스프레드시트, 캔바, 퍼플렉시티, 클로드, LilysAI, Jungle AI, Sora, NotebookLM, Napkin AI 등 최신 AI 도구가 이 한권에! 생활기록부, 평가 계획 작...",https://www.yes24.com/product/goods/145426898
된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,20000,18000,97,"37,668",N/A,GPT 분야 3 년 연속 베스트셀러! 최신 버전 GPT-4.1 반영!초보자도 1 시간이면 바로 사용 가능! 업무부터 자기 계발까지 챗 GPT 에게 일 시키고 시간 버는 법!챗 GPT 입문 분야 베스트셀러인 『된다! 하루 만에 끝내...,https://www.yes24.com/product/goods/146955725
이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,쌩초,골든래빗,2025년 12월,18800,16920,82,"18,366",N/A,"★ ‘나노바나나 프로’ 미친 활용! 클릭 몇 번으로 이렇게 달라진다고!★ 나노바나나를 200% 활용하는 ‘쌩초’의 비포/애프터 레시피 대방출!★ 포토샵 없이, 스튜디오 촬영 없이 만드는 71가지 고퀄리티 사진★ ...",https://www.yes24.com/product/goods/167400825
제로클릭,손승완,길벗,2026년 01월,18800,16920,41,"9,990",N/A,"〈트렌드 코리아 2026〉이 선정한 올해의 키워드, 제로클릭!생성형 AI가 '검색의 패러다임’을 통째로 바꾸고 있는 시대내 브랜드와 콘텐츠가 AI에게 선택받으려면 어떻게 해야 할까?사람들은 여전히 검색하지만, 더...",https://www.yes24.com/product/goods/171566846
AI 에이전트 엔지니어링,마이클 알바다 /강민혁 역,한빛미디어,2026년 01월,32000,28800,3,"7,656",N/A,"AI 에이전트 시스템 구축을 다룬 최고의 입문서!이 한 권이면 수백 편의 논문을 읽지 않아도 좋다생성형 AI 시대, 기업은 이제 단순 자동화를 넘어 도구·지식·메모리를 결합한 AI 에이전트로 더 복잡한 문제를 해결...",https://www.yes24.com/product/goods/174018513
이게 되네? AI 쇼츠 만들기 미친 자동화 22제,천은영,골든래빗,2026년 01월,26000,23400,4,"8,991",N/A,코딩 몰라도 OK! '딸깍' 한 번에 숏폼 콘텐츠 수집/제작/업로드 끝내는 미친 자동화 시스템 22제!AI가 쉴 틈 없이 돈 벌어준다! 1인 크리에이터를 위한 24시간 숏폼 수익 창출 가이드복붙 프롬프트 모음집 & 카카오...,https://www.yes24.com/product/goods/169665962
AI 버블이 온다,"아르빈드 나라야난, 사야시 카푸르 /강미경 역",윌북(willbook),2025년 12월,24800,22320,46,"12,012",N/A,“AI 버블에 면역이 있는 기업은 없다” ─순디르 피차이(구글 CEO)“우리는 지금 인공지능 버블 속에 있다” ─샘 올트먼(오픈AI CEO)★ “이 책을 읽지 않았다면 AI 주식에는 한 푼도 투자하지 말라!”★《타임》 ...,https://www.yes24.com/product/goods/167465671
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,이성원,한빛미디어,2025년 10월,19000,17100,39,"13,224",N/A,"이보다 쉬운 챗GPT & AI 책은 없다!왕초보를 위한, 세상에서 가장 쉬운 챗GPT & AI 입문서 누구나 아는, 그러나 나만 몰랐던 챗GPT와 AI, 이 책은 IT에 서툰 분도 단숨에 따라 할 수 있도록 진짜 쉽고 친절하게 설명...",https://www.yes24.com/product/goods/154232193
MK에디션 CES 2026,매일경제 CES 특별취재팀,매일경제신문사,2026년 01월,20000,18000,0,"7,062",N/A,"“이제 AI 기술은 가능성을 말하지 않는다. 당장 쓸 수 있음을 증명한다.”매일경제 취재팀과 미라클레터가 함께 전하는 CES 2026 현장 리포트AI?로보틱스?모빌리티?디지털 헬스, 혁신미래기술의 인사이트를 밝히다...",https://www.yes24.com/product/goods/174267330
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,Dave Lee,길벗,2026년 02월,32000,28800,4,"3,747",N/A,"AI와 함께 일하는 법을 배우다클로드 코드·코덱스 CLI·제미나이 CLI를 실무에서 활용하는 방법AI 코딩 도구를 처음 접하는 사람에게 가장 어려운 점은 '무엇부터 시작해야 하는지', 그리고 '어디까지 활용할 수 있는...",https://www.yes24.com/product/goods/175525819
요즘 당근 AI 개발,당근 팀,골든래빗,2025년 10월,22000,19800,86,"18,201",N/A,"★ ‘당근’의 진짜 AI 활용과 개발 이야기★ 사용자 문제를 AI로 해결하는 당근 팀의 여정을 만나 보세요.‘AI로 과연 될까?’라는 질문은 ‘AI로 어떻게 하면 될까?’라는 고민으로 이어졌습니다. 엔지니어, 프로...",https://www.yes24.com/product/goods/154566057
대체불가 AI 영상 제작 완전정복,이용태,책바세,2025년 12월,29000,26100,12,"9,339",N/A,"〈한 권으로 끝내는 생성형 AI 영상 제작의 모든 것〉〈AI 하나로 광고·영화·애니메이션·교육 영상부터 유튜브·틱톡 숏츠까지 제작하는 시대!〉""실무형 예제 중심으로 배우는 ""진짜"" AI 영상 제작""챗GPT/소라/피카/...",https://www.yes24.com/product/goods/165239801
AI가 쉬워지는 최소한의 수학,이동준,지상의책(갈매나무),2026년 02월,20000,18000,3,"3,252",N/A,"‘AI 시대가 온다는데, 어디서부터 시작해야 할지 모르겠어요.’‘인공지능이 어떤 방식으로 작동하는지 궁금해요.’‘딥러닝을 공부하기 전에 수학으로 기초를 다지고 싶어요.’ AI 대전환 시대,수학을 아는 자가 ...",https://www.yes24.com/product/goods/176526389
AI 프로젝트 100% 성공을 위한 체크리스트 17,유진호,책만,2026년 01월,28000,25200,5,"5,706",N/A,"성공률 100%의 AI 프로젝트를 위한, 현장에서 즉시 꺼내 쓰는 실전 로드맵! 화려한 AI 기술 스택 뒤에는 비즈니스 가치 입증 실패, 운영 비용의 늪, 경험의 부재라는 수많은 함정이 도사리고 있다. 이 책은 AI 프로...",https://www.yes24.com/product/goods/175133788
AI 엔지니어링,칩 후옌 /변성윤 역,한빛미디어,2025년 09월,40000,36000,15,"13,980",N/A,"최고의 AI 전문가 칩 후옌이 엔비디아, 스노클 AI, 스탠퍼드에서 쌓은 현장 경험과 노하우!모델 활용을 넘어서, 실전으로 통하는 AI 서비스 설계 가이드“프로덕트 레벨에 맞는 설계란 무엇일까요?”파운데이션 모델...",https://www.yes24.com/product/goods/154925812
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진",시프트,2025년 09월,20000,18000,29,"16,074",N/A,"AI로 시작하는 음악, 쉽고 재미있게 나만의 음악을 만들며, 음악의 매력에 빠져 보자!'AI에서 클릭 몇 번이면 음악이 뚝딱 완성되는데, 과연 책을 볼 필요가 있을까?' 직접 AI를 사용하여 음악을 만들어 보면 가졌던...",https://www.yes24.com/product/goods/152644865
