title,product_url,image_url,author,publisher,publication_date,sales_price,original_price,rating,review_count
된다! 하루 만에 끝내는 제미나이 활용법,https://www.yes24.com/product/goods/163301895,https://image.yes24.com/goods/163301895/L,권서림,이지스퍼블리싱,2025년 11월,18000,20000,9.8,62
요즘 바이브 코딩 안티그래비티 완벽 가이드,https://www.yes24.com/product/goods/174658020,https://image.yes24.com/goods/174658020/L,최지호,골든래빗,2026년 02월,25200,28000,10.0,2
누구나 아는 나만 모르는 제미나이,https://www.yes24.com/product/goods/172517063,https://image.yes24.com/goods/172517063/L,이성원,한빛미디어,2026년 01월,17100,19000,10.0,11
"AI 시대의 질문력, 프롬프트 엔지니어링",https://www.yes24.com/product/goods/150566390,https://image.yes24.com/goods/150566390/L,류한석,코리아닷컴(Korea.com),2025년 08월,24300,27000,9.5,44
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이",https://www.yes24.com/product/goods/169849422,https://image.yes24.com/goods/169849422/L,안익재,앤써북,2025년 12월,17820,19800,10.0,84
피지컬 AI 메가 트렌드,https://www.yes24.com/product/goods/176004735,https://image.yes24.com/goods/176004735/L,최홍섭,위즈덤하우스,2026년 01월,20700,23000,9.9,21
요즘 바이브 코딩 클로드 코드 완벽 가이드,https://www.yes24.com/product/goods/151850127,https://image.yes24.com/goods/151850127/L,최지호,골든래빗,2025년 09월,21600,24000,8.4,18
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/145426898,https://image.yes24.com/goods/145426898/L,박진환,한빛미디어,2025년 05월,18000,20000,9.8,65
된다! 하루 만에 끝내는 챗GPT 활용법,https://www.yes24.com/product/goods/146955725,https://image.yes24.com/goods/146955725/L,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,18000,20000,9.4,97
이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,https://www.yes24.com/product/goods/167400825,https://image.yes24.com/goods/167400825/L,쌩초,골든래빗,2025년 12월,16920,18800,10.0,82
제로클릭,https://www.yes24.com/product/goods/171566846,https://image.yes24.com/goods/171566846/L,손승완,길벗,2026년 01월,16920,18800,9.8,41
AI 에이전트 엔지니어링,https://www.yes24.com/product/goods/174018513,https://image.yes24.com/goods/174018513/L,마이클 알바다,한빛미디어,2026년 01월,28800,32000,10.0,3
이게 되네? AI 쇼츠 만들기 미친 자동화 22제,https://www.yes24.com/product/goods/169665962,https://image.yes24.com/goods/169665962/L,천은영,골든래빗,2026년 01월,23400,26000,10.0,4
AI 버블이 온다,https://www.yes24.com/product/goods/167465671,https://image.yes24.com/goods/167465671/L,아르빈드 나라야난,윌북(willbook),2025년 12월,22320,24800,9.9,46
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,https://www.yes24.com/product/goods/154232193,https://image.yes24.com/goods/154232193/L,이성원,한빛미디어,2025년 10월,17100,19000,9.7,39
MK에디션 CES 2026,https://www.yes24.com/product/goods/174267330,https://image.yes24.com/goods/174267330/L,매일경제 CES 특별취재팀,매일경제신문사,2026년 01월,18000,20000,,0
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,https://www.yes24.com/product/goods/175525819,https://image.yes24.com/goods/175525819/L,Dave Lee,길벗,2026년 02월,28800,32000,10.0,4
요즘 당근 AI 개발,https://www.yes24.com/product/goods/154566057,https://image.yes24.com/goods/154566057/L,당근 팀,골든래빗,2025년 10월,19800,22000,9.9,86
대체불가 AI 영상 제작 완전정복,https://www.yes24.com/product/goods/165239801,https://image.yes24.com/goods/165239801/L,이용태,책바세,2025년 12월,26100,29000,9.8,12
AI가 쉬워지는 최소한의 수학,https://www.yes24.com/product/goods/176526389,https://image.yes24.com/goods/176526389/L,이동준,지상의책(갈매나무),2026년 02월,18000,20000,10.0,3
AI 프로젝트 100% 성공을 위한 체크리스트 17,https://www.yes24.com/product/goods/175133788,https://image.yes24.com/goods/175133788/L,유진호,책만,2026년 01월,25200,28000,10.0,5
AI 엔지니어링,https://www.yes24.com/product/goods/154925812,https://image.yes24.com/goods/154925812/L,칩 후옌,한빛미디어,2025년 09월,36000,40000,9.9,15
